threshold,tn,fp,fn,tp,precision,recall,f1,f2,false_positive_rate,false_negative_rate,total_cost
0.30000000000000004,2043,310,291,216,0.41064638783269963,0.4260355029585799,0.4181994191674734,0.422866092404072,0.1317467063323417,0.5739644970414202,1765
0.31000000000000005,2067,286,300,207,0.4198782961460446,0.40828402366863903,0.414,0.4105513685045617,0.12154696132596685,0.591715976331361,1786
0.32000000000000006,2087,266,314,193,0.420479302832244,0.3806706114398422,0.3995859213250518,0.38801769199839165,0.11304717382065449,0.6193293885601578,1836
0.33,2115,238,321,186,0.4386792452830189,0.3668639053254438,0.3995703544575725,0.3792822185970636,0.10114747131321716,0.6331360946745562,1843
0.34,2128,225,333,174,0.43609022556390975,0.3431952662721893,0.3841059602649007,0.3584672435105068,0.09562260943476412,0.6568047337278107,1890
0.35000000000000003,2149,204,338,169,0.45308310991957107,0.3333333333333333,0.3840909090909091,0.35193669304456476,0.08669783255418614,0.6666666666666666,1894
0.36000000000000004,2168,185,352,155,0.45588235294117646,0.3057199211045365,0.3659976387249115,0.32728040540540543,0.0786230344241394,0.6942800788954635,1945
0.37000000000000005,2186,167,361,146,0.46645367412140576,0.2879684418145957,0.35609756097560974,0.31183255019222555,0.07097322566935826,0.7120315581854043,1972
0.38000000000000006,2199,154,372,135,0.4671280276816609,0.26627218934911245,0.3391959798994975,0.29132498921018557,0.06544836379090523,0.7337278106508875,2014
0.39000000000000007,2209,144,382,125,0.4646840148698885,0.2465483234714004,0.32216494845360827,0.27209403569873747,0.06119847003824904,0.7534516765285996,2054
0.4000000000000001,2221,132,393,114,0.4634146341463415,0.22485207100591717,0.30278884462151395,0.25065963060686014,0.05609859753506162,0.7751479289940828,2097
0.4100000000000001,2230,123,400,107,0.4652173913043478,0.21104536489151873,0.2903663500678426,0.23693534100974314,0.05227369315767106,0.7889546351084813,2123
0.42000000000000004,2240,113,406,101,0.4719626168224299,0.1992110453648915,0.2801664355062413,0.22524531668153436,0.048023799405014875,0.8007889546351085,2143
0.43000000000000005,2246,107,417,90,0.45685279187817257,0.17751479289940827,0.2556818181818182,0.20224719101123595,0.04547386315342117,0.8224852071005917,2192
0.44000000000000006,2260,93,426,81,0.46551724137931033,0.15976331360946747,0.23788546255506607,0.18392370572207084,0.039524011899702505,0.8402366863905325,2223
0.45000000000000007,2266,87,432,75,0.46296296296296297,0.14792899408284024,0.2242152466367713,0.17123287671232876,0.0369740756481088,0.8520710059171598,2247
0.4600000000000001,2271,82,436,71,0.46405228758169936,0.14003944773175542,0.21515151515151515,0.16276937184777626,0.03484912877178071,0.8599605522682445,2262
0.4700000000000001,2277,76,443,64,0.45714285714285713,0.126232741617357,0.19783616692426584,0.14760147601476015,0.032299192520186995,0.873767258382643,2291
0.4800000000000001,2284,69,448,59,0.4609375,0.11637080867850098,0.1858267716535433,0.13682745825602968,0.029324266893327667,0.883629191321499,2309
0.49000000000000005,2291,62,453,54,0.46551724137931033,0.10650887573964497,0.17335473515248795,0.1259328358208955,0.02634934126646834,0.893491124260355,2327
0.5000000000000001,2294,59,460,47,0.44339622641509435,0.09270216962524655,0.1533442088091354,0.11012183692596064,0.025074373140671482,0.9072978303747534,2359
0.5100000000000001,2301,52,470,37,0.4157303370786517,0.07297830374753451,0.12416107382550336,0.08738781294284365,0.022099447513812154,0.9270216962524654,2402
0.5200000000000001,2309,44,474,33,0.42857142857142855,0.0650887573964497,0.11301369863013698,0.07838479809976247,0.018699532511687208,0.9349112426035503,2414
0.5300000000000001,2314,39,479,28,0.417910447761194,0.055226824457593686,0.0975609756097561,0.06682577565632458,0.016574585635359115,0.9447731755424064,2434
0.5400000000000001,2318,35,481,26,0.4262295081967213,0.05128205128205128,0.09154929577464789,0.062230732407850646,0.014874628134296642,0.9487179487179487,2440
0.5500000000000002,2321,32,485,22,0.4074074074074074,0.04339250493096647,0.0784313725490196,0.052833813640730067,0.013599660008499787,0.9566074950690335,2457
0.5600000000000002,2324,29,486,21,0.42,0.04142011834319527,0.07540394973070018,0.05052935514918191,0.012324691882702932,0.9585798816568047,2459
0.5700000000000002,2325,28,488,19,0.40425531914893614,0.03747534516765286,0.06859205776173286,0.04578313253012048,0.011899702507437314,0.9625246548323472,2468
0.5800000000000002,2331,22,489,18,0.45,0.03550295857988166,0.06581352833638025,0.043520309477756286,0.009349766255843604,0.9644970414201184,2467
0.5900000000000002,2334,19,492,15,0.4411764705882353,0.029585798816568046,0.05545286506469501,0.036372453928225024,0.008074798130046749,0.9704142011834319,2479
0.6000000000000002,2335,18,494,13,0.41935483870967744,0.02564102564102564,0.048327137546468404,0.03156872268091306,0.00764980875478113,0.9743589743589743,2488
0.6100000000000001,2336,17,496,11,0.39285714285714285,0.021696252465483234,0.041121495327102804,0.026750972762645913,0.007224819379515512,0.9783037475345168,2497
0.6200000000000001,2340,13,496,11,0.4583333333333333,0.021696252465483234,0.04143126177024482,0.026803118908382065,0.0055248618784530384,0.9783037475345168,2493
0.6300000000000001,2340,13,498,9,0.4090909090909091,0.01775147928994083,0.034026465028355386,0.02195121951219512,0.0055248618784530384,0.9822485207100592,2503
0.6400000000000001,2342,11,499,8,0.42105263157894735,0.015779092702169626,0.030418250950570342,0.019540791402051783,0.004674883127921802,0.9842209072978304,2506
0.6500000000000001,2342,11,499,8,0.42105263157894735,0.015779092702169626,0.030418250950570342,0.019540791402051783,0.004674883127921802,0.9842209072978304,2506
0.6600000000000001,2344,9,499,8,0.47058823529411764,0.015779092702169626,0.030534351145038167,0.019559902200488997,0.003824904377390565,0.9842209072978304,2504
0.6700000000000002,2346,7,501,6,0.46153846153846156,0.011834319526627219,0.023076923076923078,0.014698677119059285,0.0029749256268593286,0.9881656804733728,2512
0.6800000000000002,2346,7,502,5,0.4166666666666667,0.009861932938856016,0.019267822736030827,0.012254901960784314,0.0029749256268593286,0.9901380670611439,2517
0.6900000000000002,2346,7,502,5,0.4166666666666667,0.009861932938856016,0.019267822736030827,0.012254901960784314,0.0029749256268593286,0.9901380670611439,2517
0.7000000000000002,2348,5,504,3,0.375,0.005917159763313609,0.011650485436893204,0.0073673870333988214,0.0021249468763280916,0.9940828402366864,2525
0.7100000000000002,2350,3,504,3,0.5,0.005917159763313609,0.011695906432748537,0.007374631268436578,0.0012749681257968552,0.9940828402366864,2523
0.7200000000000002,2351,2,506,1,0.3333333333333333,0.0019723865877712033,0.00392156862745098,0.002461841457410143,0.0008499787505312367,0.9980276134122288,2532
0.7300000000000002,2351,2,506,1,0.3333333333333333,0.0019723865877712033,0.00392156862745098,0.002461841457410143,0.0008499787505312367,0.9980276134122288,2532
0.7400000000000002,2351,2,506,1,0.3333333333333333,0.0019723865877712033,0.00392156862745098,0.002461841457410143,0.0008499787505312367,0.9980276134122288,2532
0.7500000000000002,2351,2,506,1,0.3333333333333333,0.0019723865877712033,0.00392156862745098,0.002461841457410143,0.0008499787505312367,0.9980276134122288,2532
0.7600000000000002,2352,1,506,1,0.5,0.0019723865877712033,0.003929273084479371,0.0024630541871921183,0.00042498937526561835,0.9980276134122288,2531
0.7700000000000002,2352,1,506,1,0.5,0.0019723865877712033,0.003929273084479371,0.0024630541871921183,0.00042498937526561835,0.9980276134122288,2531
0.7800000000000001,2352,1,506,1,0.5,0.0019723865877712033,0.003929273084479371,0.0024630541871921183,0.00042498937526561835,0.9980276134122288,2531
0.7900000000000001,2352,1,507,0,0.0,0.0,0.0,0.0,0.00042498937526561835,1.0,2536
0.8000000000000002,2352,1,507,0,0.0,0.0,0.0,0.0,0.00042498937526561835,1.0,2536
0.8100000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.8200000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.8300000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.8400000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.8500000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.8600000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.8700000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.8800000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.8900000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.9000000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.9100000000000003,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.9200000000000003,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.9300000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.9400000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
0.9500000000000002,2353,0,507,0,0.0,0.0,0.0,0.0,0.0,1.0,2535
